Registry,Assignment,Organization Name,Organization Addresss
MA-L,88C255,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
MA-L,CC78AB,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
MA-L,5820B1,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,9457A5,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,000EB3,Hewlett Packard,2580 55th Street Boulder CO US 80301 
MA-L,080009,Hewlett Packard,ENTERPRISE SYSTEMS TECH.CENTER CUPERTINO CA US 95014 
MA-L,0030C1,Hewlett Packard,11000 WOLFE ROAD CUPERTINO CA US 95014 
MA-L,0080A0,Hewlett Packard,"ALAMEDA RIO NEGRO, houston tx BR 77070 "
MA-L,D48564,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,24BE05,Hewlett Packard,11445 Compaq Center Drive W Houston  US 77070 
MA-L,FC3FDB,Hewlett Packard,11445 Compaq Center Drive Houston TX US 77070 
MA-L,00092D,HTC Corporation,"No.23 Xinghua Road, Taoyuan County   TW 330 "
MA-L,00265C,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,002269,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,D87988,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,74A78E,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen  guangdong CN 518057 "
MA-L,7C6193,HTC Corporation,"No. 23, Xinghua Rd.,  Taoyuan County  TW 330 "
MA-L,90E7C4,HTC Corporation,"No. 23, Xinghua Rd. Taoyuan County Taiwan TW 330 "
MA-L,90CDB6,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,40490F,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,AC162D,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,80C16E,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,B4B52F,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,D07E28,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,D0BF9C,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,308D99,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,7446A0,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,2C44FD,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,443192,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,A0D3C1,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,38EAA7,Hewlett Packard,11445 Compaq Center Drive Houston  US 77070 
MA-L,0452F3,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,002127,"TP-LINK TECHNOLOGIES CO.,LTD.","South Building, No.5 Keyuan Road, Central Zone, Shenzhen Guangdong CN 518000 "
MA-L,EC888F,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park Shenzhen Guangdong CN 518057 "
MA-L,6466B3,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park Shenzhen Guangdong CN 518057 "
MA-L,F0F336,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
MA-L,BC4699,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4) Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
MA-L,F483CD,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
MA-L,FCD733,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
MA-L,5C899A,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Shennan Rd, Nanshan Shenzhen,Guangdong Province CN 518057 "
MA-L,A81B5A,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA DONGGUAN GUANGDONG CN 523860 "
MA-L,2C5BB8,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA DONGGUAN GUANGDONG CN 523860 "
MA-L,902106,SKY UK LIMITED,130 Kings Road Brentwood Essex GB 08854 
MA-L,889471,Brocade Communications Systems LLC,1320 Ridder Park Dr San Jose CA US 95131 
MA-L,8C7CFF,Brocade Communications Systems LLC,1320 Ridder Park Dr San Jose CA US 95131 
MA-L,5C63BF,"TP-LINK TECHNOLOGIES CO.,LTD.","1-6F, Building 2, Pingshandayuan Industrial, South Zone, Shenzhen Guangdong CN 518000 "
MA-L,E005C5,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 7, Second Part, Honghualing Industrial Zone Shenzhen Guangdong CN 518000 "
MA-L,388345,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan,  Shenzhen, Guangdong Province CN 518057 "
MA-L,98F537,zte corporation,"12/F.,zte R&D building,kejinan Road, shenzhen guangdong CN 518057 "
MA-L,001FE2,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,0016CF,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,2002AF,"Murata Manufacturing Co., Ltd.",1-10-1 Higashikotari Nagaokakyo-shi Kyoto JP 617-8555 
MA-L,0021E8,"Murata Manufacturing Co., Ltd.","2288, Oaza-Ohshinohara, Yasu-cho, Yasu-gun Shiga JP 520-2393 "
MA-L,000E6D,"Murata Manufacturing Co., Ltd.","2288, Oaza-Ohshinohara, Yasu-cho, Yasu-gun Shiga JP 520-2393 "
MA-L,D02788,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,904CE5,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,142D27,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
MA-L,5C4CA9,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 "
MA-L,F4C714,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District, Shenzhen Guangdong CN 518108 "
MA-L,286ED4,"HUAWEI TECHNOLOGIES CO.,LTD","HUAWEI Industrial Base Bantian,Longgang Shenzhen guangdong CN 518129 "
MA-L,001E10,"HUAWEI TECHNOLOGIES CO.,LTD","HUAWEI INDUSTRIAL PK BANTIAN, LONGGANG DIST SHENZHEN SHENZHEN GUANGDONG CN 518077 "
MA-L,D47856,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,A01290,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,D842AC,"Shanghai Feixun Communication Co.,Ltd.","Building 90, No. 4855, Guangfulin Road, Songjiang District Shanghai  CN 201616 "
MA-L,5439DF,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen Shenzhen Guangdong CN 518129 "
MA-L,74882A,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
MA-L,88E3AB,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,C40528,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,3CDFBD,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,509F27,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,8C34FD,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,587F66,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,64A651,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,CCF954,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,2CF4C5,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,3C3A73,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,FC8399,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,283CE4,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District  Shenzhen Guangdong CN 518057 "
MA-L,086361,"HUAWEI TECHNOLOGIES CO.,LTD","Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate Shenzhen GuangDong CN 518057 "
MA-L,38BB3C,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,F873A2,Avaya Inc,360 Mt Kemble Ave Morristown NJ US 07960 
MA-L,80717A,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
MA-L,D4970B,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,8CBEBE,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,14F65A,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,009EC8,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,0C1DAF,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,3480B3,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,F48B32,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,F4B85E,Texas Instruments,12500 TI BLVD Dallas  US 75243 
MA-L,68C90B,Texas Instruments,12500 TI BLVD Dallas  US 75243 
MA-L,D4F513,Texas Instruments,12500 TI BLVD Dallas  US 75243 
MA-L,507224,Texas Instruments,12500 TI BLVD Dallas  US 75243 
MA-L,ACF7F3,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
MA-L,0819A6,"HUAWEI TECHNOLOGIES CO.,LTD","D1-4,Huawei Industrial Base,Bantian,Longgang ShenZhen GuangDong CN 518129 "
MA-L,3CF808,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
MA-L,486276,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
MA-L,B41513,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
MA-L,AC4E91,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
MA-L,283152,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base,Bantian,Longgang,Shenzhen ShenZhen GuangDong CN 518129 "
MA-L,009021,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0090B1,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,04BD70,"HUAWEI TECHNOLOGIES CO.,LTD","D1,Huawei Industrial Base Shenzhen Guangdong CN 518129 "
MA-L,001AB6,Texas Instruments,108 Wild Basin Ste 350 Austin TX US 78746 
MA-L,0012D1,Texas Instruments,"12500 TI Boulevard, Dallas  US 75243 "
MA-L,001237,Texas Instruments,"12500 TI Boulevard, Dallas  US 75243 "
MA-L,00102F,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,00100D,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,001007,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,001014,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,00400B,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,0090BF,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0050D1,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,0090D9,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,009092,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,A0E6F8,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
MA-L,70FF76,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
MA-L,D03972,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
MA-L,5C313E,Texas Instruments,12500 TI BLVD Dallas  US 75243 
MA-L,006070,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,00E01E,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,1CE6C7,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,00112F,ASUSTek COMPUTER INC.,"No.150, Li-Te Rd., Peitou Taipei  TW 112 "
MA-L,18E728,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,D072DC,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,28C7CE,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,F40F1B,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,F8C288,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,BCAEC5,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou, Taipei  TW 112 "
MA-L,10BF48,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou, Taipei  TW 112 "
MA-L,6C9989,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,1C6A7A,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,5067AE,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,F09E63,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,001BFC,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou Taipei  TW 112 "
MA-L,485B39,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 "
MA-L,CCD539,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,500604,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,4C0082,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,7C95F3,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,34DBFD,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,885A92,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,046C9D,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,84B261,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,00101F,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,54A274,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,A0554F,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,204C9E,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,84B802,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,B0AA77,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,BCC493,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,A46C2A,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,D0A5A6,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,3C5EC3,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,64F69D,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,000389,"PLANTRONICS, INC.",345 ENCINAL STREET SANTA CRUZ CA US 95060 
MA-L,484487,Cisco SPVTG,5030 Sugarloaf Pkwy Lawrenceville GA US 30044 
MA-L,38C85C,Cisco SPVTG,5030 Sugarloaf Pkwy Lawrenceville GA US 30044 
MA-L,E448C7,Cisco SPVTG,5030 Sugarloaf Pkwy Lawrenceville GA US 30044 
MA-L,001217,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,001310,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,001EE5,"Cisco-Linksys, LLC",121 Theory Drive Irvine  US 92612 
MA-L,001D4F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
MA-L,002312,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 